Active,Role,Hiring Manager,Minimum Score,Auto Booking Minimum Score,Manual Review Score Range,Hard Reject Score,Max Risk Score For Auto Booking,Required Availability,Valid Drivers License Required,Background Check Required,Minimum Experience Years,Pay Range,Phone Screen Booking Link,Full Interview Booking Link,Culture Fit Form Link,Reference Form Link,Auto Send Booking,Notes
TRUE,Service Advisor,Travis Burd,70,80,55-69,40,4,Mon-Fri,TRUE,TRUE,2,$60k-$110k,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,Fill in booking links and pay range.
TRUE,Technician,Travis Burd,70,80,55-69,40,4,Mon-Fri,TRUE,TRUE,3,$30-$60/hr,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
TRUE,Lube Tech,Travis Burd,60,75,50-59,35,5,Mon-Fri,TRUE,TRUE,0,$16-$20/hr,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
TRUE,Valet / Porter,Travis Burd,60,75,50-59,35,5,Mon-Fri,TRUE,TRUE,0,$16-$20/hr,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
TRUE,Parts,Travis Burd,65,78,55-64,40,4,Mon-Fri,TRUE,TRUE,1,$22-$32/hr,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
TRUE,CX / Customer Experience,Travis Burd,60,75,50-59,35,5,Mon-Fri,TRUE,TRUE,0,$16-$20/hr,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
TRUE,Admin,Travis Burd,72,82,58-71,45,4,Mon-Fri,TRUE,TRUE,2,$60k-$110k,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
TRUE,Shop Foreman,Travis Burd,82,90,65-81,55,3,Mon-Fri,TRUE,TRUE,5,$60k-$110k,https://koalendar.com/e/candidate-phone-screen-2,https://koalendar.com/e/fes-full-interview,https://docs.google.com/forms/d/e/1FAIpQLSdTWzz6nCwVd_9whYw_fItrFhrr_0R2z5PwQ3bTeKzpTFbubw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSflp92JKb7Z8aezNab_Cg7zQmaroqVH0WuQ_UjNUHYvz4AUhQ/viewform,TRUE,
